Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,year,round
2025-10-26 20:16:38,Other,CAR 44 (HAM) TIME 1:25.860 DELETED - TRACK LIMITS AT TURN 1 LAP 6 14:10:31,,,,,,10.0,2025,20
2025-10-26 20:17:36,Other,CAR 44 (HAM) TIME 1:25.860 DELETED - TRACK LIMITS AT TURN 4 LAP 6 14:10:50,,,,,,11.0,2025,20
2025-10-26 20:19:42,Other,CAR 1 (VER) TIME 1:28.329 DELETED - TRACK LIMITS AT TURN 5 LAP 6 14:10:50,,,,,,12.0,2025,20
2025-10-26 20:19:56,Other,CAR 63 (RUS) TIME 1:28.589 DELETED - TRACK LIMITS AT TURN 5 LAP 6 14:10:55,,,,,,13.0,2025,20
2025-10-26 20:21:48,Other,FIA STEWARDS: LAP 1 TURN 2 INCIDENT INVOLVING CARS 55 (SAI) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,14.0,2025,20
2025-10-26 20:23:08,Other,TURN 4 INCIDENT INVOLVING CAR 44 (HAM) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,15.0,2025,20
2025-10-26 20:23:17,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,15.0,2025,20
2025-10-26 20:23:21,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,15.0,2025,20
2025-10-26 20:23:46,Other,CAR 87 (BEA) TIME 1:25.563 DELETED - TRACK LIMITS AT TURN 8 LAP 6 14:11:08,,,,,,15.0,2025,20
2025-10-26 20:24:03,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 44 (HAM) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,16.0,2025,20
2025-10-26 20:29:20,Other,CAR 55 (SAI) TIME 1:42.516 DELETED - TRACK LIMITS AT TURN 1 LAP 18 14:27:52,,,,,,19.0,2025,20
2025-10-26 20:29:31,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 1 (VER) AND 44 (HAM) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,20.0,2025,20
2025-10-26 20:31:42,Other,TURN 3 INCIDENT INVOLVING CAR 1 (VER) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,21.0,2025,20
2025-10-26 20:32:55,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CAR 1 (VER) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,22.0,2025,20
2025-10-26 20:34:53,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 1 (VER) AND 44 (HAM) NO FURTHER ACTION - CAUSING A COLLISION,,,,,,23.0,2025,20
2025-10-26 20:38:19,Other,FIA STEWARDS: PENALTY SERVED - 10 SECOND TIME PENALTY FOR CAR 44 (HAM) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,26.0,2025,20
2025-10-26 20:38:54,Other,INCIDENT INVOLVING CAR 55 (SAI) NOTED - SPEEDING IN THE PIT LANE,,,,,,26.0,2025,20
2025-10-26 20:38:58,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,,,,26.0,2025,20
2025-10-26 20:40:03,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 55 (SAI) - SPEEDING IN THE PIT LANE,,,,,,27.0,2025,20
2025-10-26 20:53:56,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 14:53:55,,BLUE,Driver,,10.0,37.0,2025,20
2025-10-26 21:03:50,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:03:49,,BLUE,Driver,,43.0,44.0,2025,20
2025-10-26 21:05:40,Other,CAR 18 (STR) TIME 1:42.462 DELETED - TRACK LIMITS AT TURN 1 LAP 44 15:04:17,,,,,,46.0,2025,20
2025-10-26 21:10:22,Other,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 55 (SAI) - SPEEDING IN THE PIT LANE,,,,,,49.0,2025,20
2025-10-26 21:11:54,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:11:53,,BLUE,Driver,,18.0,50.0,2025,20
2025-10-26 21:12:04,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:12:03,,BLUE,Driver,,18.0,50.0,2025,20
2025-10-26 21:12:05,Other,TURN 5 INCIDENT INVOLVING CARS 81 (PIA) AND 31 (OCO) NOTED - CAUSING A COLLISION,,,,,,50.0,2025,20
2025-10-26 21:12:16,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:12:16,,BLUE,Driver,,18.0,51.0,2025,20
2025-10-26 21:14:57,Other,INCIDENT INVOLVING CAR 55 (SAI) NOTED - SPEEDING IN THE PIT LANE,,,,,,53.0,2025,20
2025-10-26 21:15:03,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,,,,,,53.0,2025,20
2025-10-26 21:15:13,Other,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 81 (PIA) AND 31 (OCO) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,,53.0,2025,20
2025-10-26 21:19:55,Other,FIA STEWARDS: DRIVE THROUGH PENALTY FOR CAR 55 (SAI) - SPEEDING IN THE PIT LANE,,,,,,56.0,2025,20
2025-10-26 21:22:20,Other,FIA STEWARDS: PENALTY SERVED - DRIVE THROUGH PENALTY FOR CAR 55 (SAI) - SPEEDING IN THE PIT LANE,,,,,,58.0,2025,20
2025-10-26 21:23:57,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:23:56,,BLUE,Driver,,10.0,59.0,2025,20
2025-10-26 21:27:53,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:27:52,,BLUE,Driver,,10.0,62.0,2025,20
2025-10-26 21:31:11,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:31:11,,BLUE,Driver,,23.0,64.0,2025,20
2025-10-26 21:31:23,Other,CAR 44 (HAM) TIME 1:23.139 DELETED - TRACK LIMITS AT TURN 3 LAP 62 15:28:25,,,,,,65.0,2025,20
2025-10-26 21:31:23,Other,CAR 12 (ANT) TIME 1:20.900 DELETED - TRACK LIMITS AT TURN 14 LAP 62 15:29:12,,,,,,65.0,2025,20
2025-10-26 21:31:34,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:31:33,,BLUE,Driver,,23.0,65.0,2025,20
2025-10-26 21:31:52,Flag,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 15:31:52,,BLUE,Driver,,6.0,65.0,2025,20
2025-10-26 21:31:58,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:31:57,,BLUE,Driver,,23.0,65.0,2025,20
2025-10-26 21:37:05,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:37:04,,BLUE,Driver,,43.0,69.0,2025,20
2025-10-26 21:37:21,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:37:20,,BLUE,Driver,,43.0,69.0,2025,20
2025-10-26 21:37:36,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:37:36,,BLUE,Driver,,43.0,69.0,2025,20
2025-10-26 21:37:50,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:37:49,,BLUE,Driver,,43.0,69.0,2025,20
2025-10-26 21:37:54,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:37:53,,BLUE,Driver,,10.0,69.0,2025,20
2025-10-26 21:38:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,70.0,2025,20
2025-10-26 21:38:22,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,70.0,2025,20
2025-10-26 21:38:23,Other,DRS DISABLED IN ZONE 1,,,,,,70.0,2025,20
2025-10-26 21:39:16,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,70.0,2025,20
2025-10-26 21:40:42,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,71.0,2025,20
2025-10-26 21:40:44,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,71.0,2025,20
2025-10-26 21:40:47,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,71.0,2025,20
2025-10-26 21:40:56,Flag,TRACK CLEAR,,CLEAR,Track,,,71.0,2025,20
2025-10-26 21:41:13,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,71.0,2025,20
2025-10-26 21:46:38,Other,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,,,,,,71.0,2025,20
2019-11-17 16:55:09,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1.0,2019,20
2019-11-17 17:07:07,Drs,DRS DISABLED,DISABLED,,,,,1.0,2019,20
2019-11-17 17:13:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2019,20
2019-11-17 17:15:30,Drs,DRS ENABLED,ENABLED,,,,,3.0,2019,20
2019-11-17 17:22:24,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,8.0,2019,20
2019-11-17 17:22:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,8.0,2019,20
2019-11-17 17:22:32,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,8.0,2019,20
2019-11-17 17:23:00,Other,TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 3 (RIC) NOTED,,,,,,9.0,2019,20
2019-11-17 17:25:44,Other,TURN 4 INCIDENT INVOLVING CARS 3 (RIC) AND 20 (MAG) UNDER INVESTIGATION,,,,,,11.0,2019,20
2019-11-17 17:30:41,Other,5 SECOND TIME PENALTY FOR CAR 3 (RIC) - CAUSING A COLLISION,,,,,,15.0,2019,20
2019-11-17 17:38:20,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:38:19,,BLUE,Driver,,63.0,21.0,2019,20
2019-11-17 17:39:27,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:39:26,,BLUE,Driver,,88.0,22.0,2019,20
2019-11-17 17:41:52,Other,PIT LANE INCIDENT INVOLVING CARS 33 (VER) AND 88 (KUB) NOTED,,,,,,24.0,2019,20
2019-11-17 17:43:57,Other,PIT LANE INCIDENT INVOLVING CARS 33 (VER) AND 88 (KUB) UNDER INVESTIGATION,,,,,,25.0,2019,20
2019-11-17 17:45:07,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:45:06,,BLUE,Driver,,63.0,26.0,2019,20
2019-11-17 17:45:28,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:45:28,,BLUE,Driver,,88.0,27.0,2019,20
2019-11-17 17:45:47,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:45:46,,BLUE,Driver,,63.0,27.0,2019,20
2019-11-17 17:47:51,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:47:51,,BLUE,Driver,,88.0,29.0,2019,20
2019-11-17 17:49:03,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:49:03,,BLUE,Driver,,63.0,30.0,2019,20
2019-11-17 17:49:23,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:49:23,,BLUE,Driver,,88.0,30.0,2019,20
2019-11-17 17:51:16,Other,5 SECOND TIME PENALTY FOR CAR 88 (KUB) - UNSAFE RELEASE,,,,,,31.0,2019,20
2019-11-17 17:51:23,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:51:23,,BLUE,Driver,,63.0,32.0,2019,20
2019-11-17 17:53:54,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 14:53:53,,BLUE,Driver,,27.0,34.0,2019,20
2019-11-17 17:54:16,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:54:15,,BLUE,Driver,,88.0,34.0,2019,20
2019-11-17 17:55:34,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 14:55:34,,BLUE,Driver,,27.0,35.0,2019,20
2019-11-17 17:56:22,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:56:21,,BLUE,Driver,,88.0,36.0,2019,20
2019-11-17 17:56:25,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 14:56:25,,BLUE,Driver,,18.0,36.0,2019,20
2019-11-17 17:56:40,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 14:56:40,,BLUE,Driver,,20.0,36.0,2019,20
2019-11-17 17:58:04,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 14:58:04,,BLUE,Driver,,18.0,37.0,2019,20
2019-11-17 17:58:11,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 14:58:10,,BLUE,Driver,,88.0,37.0,2019,20
2019-11-17 17:58:20,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 14:58:19,,BLUE,Driver,,63.0,37.0,2019,20
2019-11-17 18:00:16,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:00:15,,BLUE,Driver,,88.0,39.0,2019,20
2019-11-17 18:00:21,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:00:21,,BLUE,Driver,,55.0,39.0,2019,20
2019-11-17 18:01:05,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:01:05,,BLUE,Driver,,88.0,40.0,2019,20
2019-11-17 18:02:47,Flag,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:02:46,,BLUE,Driver,,26.0,41.0,2019,20
2019-11-17 18:02:50,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:02:50,,BLUE,Driver,,55.0,41.0,2019,20
2019-11-17 18:03:05,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:03:05,,BLUE,Driver,,27.0,41.0,2019,20
2019-11-17 18:03:36,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:03:36,,BLUE,Driver,,4.0,42.0,2019,20
2019-11-17 18:04:04,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:04:04,,BLUE,Driver,,88.0,42.0,2019,20
2019-11-17 18:04:20,Flag,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:04:19,,BLUE,Driver,,26.0,42.0,2019,20
2019-11-17 18:04:52,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:04:51,,BLUE,Driver,,8.0,43.0,2019,20
2019-11-17 18:05:00,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:04:59,,BLUE,Driver,,4.0,43.0,2019,20
2019-11-17 18:05:14,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:05:13,,BLUE,Driver,,88.0,43.0,2019,20
2019-11-17 18:05:35,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:05:34,,BLUE,Driver,,63.0,43.0,2019,20
2019-11-17 18:06:31,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:06:31,,BLUE,Driver,,3.0,44.0,2019,20
2019-11-17 18:07:37,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:07:36,,BLUE,Driver,,20.0,45.0,2019,20
2019-11-17 18:08:15,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:08:14,,BLUE,Driver,,27.0,45.0,2019,20
2019-11-17 18:08:26,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:08:25,,BLUE,Driver,,18.0,45.0,2019,20
2019-11-17 18:09:14,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:09:14,,BLUE,Driver,,27.0,46.0,2019,20
2019-11-17 18:10:05,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:10:05,,BLUE,Driver,,63.0,47.0,2019,20
2019-11-17 18:10:42,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:10:41,,BLUE,Driver,,18.0,47.0,2019,20
2019-11-17 18:11:04,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:11:03,,BLUE,Driver,,88.0,48.0,2019,20
2019-11-17 18:11:24,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:11:23,,BLUE,Driver,,18.0,48.0,2019,20
2019-11-17 18:11:38,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:11:38,,BLUE,Driver,,88.0,48.0,2019,20
2019-11-17 18:12:04,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:12:04,,BLUE,Driver,,55.0,48.0,2019,20
2019-11-17 18:12:28,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:12:28,,BLUE,Driver,,7.0,49.0,2019,20
2019-11-17 18:12:49,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:12:48,,BLUE,Driver,,55.0,49.0,2019,20
2019-11-17 18:13:02,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:13:02,,BLUE,Driver,,55.0,49.0,2019,20
2019-11-17 18:13:30,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:13:29,,BLUE,Driver,,4.0,50.0,2019,20
2019-11-17 18:13:44,Flag,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:13:43,,BLUE,Driver,,26.0,50.0,2019,20
2019-11-17 18:13:57,Flag,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 15:13:57,,BLUE,Driver,,4.0,50.0,2019,20
2019-11-17 18:14:58,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:14:57,,BLUE,Driver,,8.0,51.0,2019,20
2019-11-17 18:15:29,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:15:29,,BLUE,Driver,,10.0,51.0,2019,20
2019-11-17 18:16:17,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:16:17,,BLUE,Driver,,20.0,52.0,2019,20
2019-11-17 18:16:39,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:16:38,,BLUE,Driver,,27.0,52.0,2019,20
2019-11-17 18:17:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,53.0,2019,20
2019-11-17 18:17:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,53.0,2019,20
2019-11-17 18:17:16,Flag,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:17:16,,BLUE,Driver,,26.0,53.0,2019,20
2019-11-17 18:18:14,Flag,WAVED BLUE FLAG FOR CAR 26 (KVY) TIMED AT 15:18:14,,BLUE,Driver,,26.0,54.0,2019,20
2019-11-17 18:18:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,54.0,2019,20
2019-11-17 18:22:58,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,56.0,2019,20
2019-11-17 18:23:23,Other,"LAPPED CARS MAY NOW OVERTAKE - 10,8,55,7,99,4,11,18,3,26,20,27,63,88",,,,,,56.0,2019,20
2019-11-17 18:24:00,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,57.0,2019,20
2019-11-17 18:26:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,58.0,2019,20
2019-11-17 18:27:19,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,59.0,2019,20
2019-11-17 18:27:44,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,59.0,2019,20
2019-11-17 18:28:58,Flag,TRACK CLEAR,,CLEAR,Track,,,59.0,2019,20
2019-11-17 18:29:14,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:29:14,,BLUE,Driver,,88.0,60.0,2019,20
2019-11-17 18:29:17,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:29:17,,BLUE,Driver,,88.0,60.0,2019,20
2019-11-17 18:31:33,Other,TURN 2 INCIDENT INVOLVING CARS 8 (GRO) AND 55 (SAI) NOTED,,,,,,61.0,2019,20
2019-11-17 18:31:34,Drs,DRS ENABLED,ENABLED,,,,,61.0,2019,20
2019-11-17 18:33:20,Other,INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - OVERTAKING CAR 20 (MAG) AT THE CONTROL LINE ON THE RE-START,,,,,,63.0,2019,20
2019-11-17 18:37:19,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,66.0,2019,20
2019-11-17 18:38:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,67.0,2019,20
2019-11-17 18:39:52,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,68.0,2019,20
2019-11-17 18:43:09,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,69.0,2019,20
2019-11-17 18:43:14,Flag,TRACK CLEAR,,CLEAR,Track,,,69.0,2019,20
2019-11-17 18:43:52,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:43:51,,BLUE,Driver,,88.0,69.0,2019,20
2019-11-17 18:43:58,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:43:57,,BLUE,Driver,,88.0,70.0,2019,20
2019-11-17 18:44:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,70.0,2019,20
2019-11-17 18:44:52,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,70.0,2019,20
2019-11-17 18:44:55,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:44:55,,BLUE,Driver,,88.0,70.0,2019,20
2019-11-17 18:45:47,Other,TURN 10 INCIDENT INVOLVING CARS 23 (ALB) AND 44 (HAM) UNDER INVESTIGATION,,,,,,71.0,2019,20
2019-11-17 18:46:16,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,71.0,2019,20
2019-11-17 18:47:34,Other,5 SECOND TIME PENALTY FOR CAR 27 (HUL) - OVERTAKING CAR 20 (MAG) AT THE CONTROL LINE ON THE RE-START,,,,,,71.0,2019,20
2019-11-17 18:48:34,Other,TURN 10 INCIDENT INVOLVING CARS 23 (ALB) AND 44 (HAM) WILL BE INVESTIGATED AFTER THE RACE,,,,,,71.0,2019,20
2019-11-17 18:51:47,Other,CARS USING DRS IN A YELLOW SECTOR ON LAP 53 AT TURN 4 ARE BEING INVESTIGATED,,,,,,71.0,2019,20
2019-11-17 18:55:32,Other,TURN 4 INCIDENT INVOLVING CARS 5 (VET) AND 16 (LEC) NOTED,,,,,,71.0,2019,20
2019-09-08 12:55:04,Other,RISK OF RAIN FOR F1 RACE IS 10%,,,,,,1.0,2019,14
2019-09-08 13:07:07,Drs,DRS DISABLED,DISABLED,,,,,1.0,2019,14
2019-09-08 13:13:21,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2019,14
2019-09-08 13:13:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1.0,2019,14
2019-09-08 13:13:41,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1.0,2019,14
2019-09-08 13:16:31,Other,"TURN 1 INCIDENT INVOLVING CARS 7 (RAI),11 (PER),33 (VER) AND 8 (GRO) NOTED",,,,,,3.0,2019,14
2019-09-08 13:16:32,Drs,DRS ENABLED,ENABLED,,,,,3.0,2019,14
